model,cf_skill@iid:substitute,cf_skill@iid:removal,cf_skill@liquidity_crisis:substitute,cf_skill@liquidity_crisis:removal,cf_skill@novel_mechanism:substitute,cf_skill@novel_mechanism:removal,cf_skill_mean,sign_acc_material_mean
persistence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wm_rssm,0.25068241176844963,0.15669727088283825,0.11672633257362153,0.17605925991386262,0.17898463094838157,-0.057631616789900475,0.13691971488287552,0.5999640857303886
wm_rssm_1step,0.04992814671543566,0.026110334821878856,-0.00781291269919926,-0.15375184896785865,0.0767941858192227,-0.04338012421757309,-0.008685369754682296,0.5985422004903692
